date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:59:26	72204/72204	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2016:59:26%20GMT	https://sites.google.com/view/msedalatzadeh/	C:/Users/sajjad/Documents/GitHub/my-website-is-edalatzadeh-dot-com/edalatzadeh-dot-com/sites.google.com/view/msedalatzadeh/index.html	(from )
18:59:27	67/67	---MCZ	200	added ('OK')	text/plain	date:Thu,%2014%20May%202020%2016:59:26%20GMT	https://sites.google.com/robots.txt		(from )
18:59:27	354105/354105	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/atari/images/label-maker-header-cropped.jpg	C:/Users/sajjad/Documents/GitHub/my-website-is-edalatzadeh-dot-com/edalatzadeh-dot-com/ssl.gstatic.com/atari/images/label-maker-header-cropped.jpg	(from https://sites.google.com/view/msedalatzadeh/)
18:59:27	43/43	---M--	200	added ('OK')	image/gif	date:Tue,%2003%20Mar%202020%2020:15:00%20GMT	https://ssl.gstatic.com/docs/common/cleardot.gif	C:/Users/sajjad/Documents/GitHub/my-website-is-edalatzadeh-dot-com/edalatzadeh-dot-com/ssl.gstatic.com/docs/common/cleardot.gif	(from https://sites.google.com/view/msedalatzadeh/)
18:59:28	12971/12971	---MC-	200	added ('OK')	application/javascript	date:Thu,%2014%20May%202020%2016:59:27%20GMT	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/Users/sajjad/Documents/GitHub/my-website-is-edalatzadeh-dot-com/edalatzadeh-dot-com/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/msedalatzadeh/)
18:59:28	45892/45892	---MC-	200	added ('OK')	text/javascript	date:Thu,%2030%20Apr%202020%2021:54:13%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/sajjad/Documents/GitHub/my-website-is-edalatzadeh-dot-com/edalatzadeh-dot-com/www.google-analytics.com/analytics.js	(from https://sites.google.com/view/msedalatzadeh/)
18:59:29	72220/72220	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2016:59:28%20GMT	https://sites.google.com/view/msedalatzadeh/home	C:/Users/sajjad/Documents/GitHub/my-website-is-edalatzadeh-dot-com/edalatzadeh-dot-com/sites.google.com/view/msedalatzadeh/home.html	(from https://sites.google.com/view/msedalatzadeh/)
18:59:29	60898/60898	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2016:59:28%20GMT	https://sites.google.com/view/msedalatzadeh/programming	C:/Users/sajjad/Documents/GitHub/my-website-is-edalatzadeh-dot-com/edalatzadeh-dot-com/sites.google.com/view/msedalatzadeh/programming.html	(from https://sites.google.com/view/msedalatzadeh/)
18:59:30	65603/65603	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2016:59:29%20GMT	https://sites.google.com/view/msedalatzadeh/research	C:/Users/sajjad/Documents/GitHub/my-website-is-edalatzadeh-dot-com/edalatzadeh-dot-com/sites.google.com/view/msedalatzadeh/research.html	(from https://sites.google.com/view/msedalatzadeh/)
18:59:30	67099/67099	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2016:59:30%20GMT	https://sites.google.com/view/msedalatzadeh/teaching	C:/Users/sajjad/Documents/GitHub/my-website-is-edalatzadeh-dot-com/edalatzadeh-dot-com/sites.google.com/view/msedalatzadeh/teaching.html	(from https://sites.google.com/view/msedalatzadeh/)
